account_id,region_code,balance_cents,is_active,risk_tier,opened_on,owner_note
1008,EU-WEST-1,882352,f,4,2024-09-27,\N
1009,SA-EAST-1,890271,t,5,2024-11-03,manual review
1010,ME-CENTRAL,898190,t,1,2024-12-10,watchlist
1011,AP-SOUTH-1,906109,f,2,2019-01-08,"priority, escalated"
1012,EU-NORTH-1,914028,t,\N,2019-02-14,kyc refresh
1013,US-EAST-2,921947,t,4,2019-03-23,verified
1014,US-WEST-1,929866,f,5,2019-04-29,\N
1015,EU-WEST-1,937785,t,1,2019-06-05,tier upgrade
1016,SA-EAST-1,945704,t,2,2019-07-12,ueberprueft 2024
1017,ME-CENTRAL,953623,f,3,2019-08-18,\N
1018,AP-SOUTH-1,961542,t,4,2019-09-24,re-audit pendiente
1019,EU-NORTH-1,969461,t,5,2019-10-31,dormant account
1020,US-EAST-2,977380,f,1,2019-12-07,\N
1021,US-WEST-1,985299,t,2,2020-01-13,manual review
1022,EU-WEST-1,993218,t,3,2020-02-19,watchlist
1023,SA-EAST-1,101137,f,\N,2020-03-27,"priority, escalated"
1024,ME-CENTRAL,109056,t,5,2020-05-03,kyc refresh
1025,AP-SOUTH-1,116975,t,1,2020-06-09,verified
1026,EU-NORTH-1,124894,f,2,2020-07-16,\N
1027,US-EAST-2,132813,t,3,2020-08-22,tier upgrade
1028,US-WEST-1,140732,t,4,2020-09-28,ueberprueft 2024
1029,EU-WEST-1,148651,f,5,2020-11-04,\N
1030,SA-EAST-1,156570,t,1,2020-12-11,re-audit pendiente
1031,ME-CENTRAL,164489,t,2,2021-01-17,dormant account
1032,AP-SOUTH-1,172408,f,3,2021-02-23,\N
1033,EU-NORTH-1,180327,t,4,2021-04-01,manual review
1034,US-EAST-2,188246,t,\N,2021-05-08,watchlist
1035,US-WEST-1,196165,f,1,2021-06-14,"priority, escalated"
1036,EU-WEST-1,204084,t,2,2021-07-21,kyc refresh
1037,SA-EAST-1,212003,t,3,2021-08-27,verified
1038,ME-CENTRAL,219922,f,4,2021-10-03,\N
1039,AP-SOUTH-1,227841,t,5,2021-11-09,tier upgrade
1040,EU-NORTH-1,235760,t,1,2021-12-16,ueberprueft 2024
1041,US-EAST-2,243679,f,2,2022-01-22,\N
1042,US-WEST-1,251598,t,3,2022-02-28,re-audit pendiente
1043,EU-WEST-1,259517,t,4,2022-04-06,dormant account
1044,SA-EAST-1,267436,f,5,2022-05-13,\N
1045,ME-CENTRAL,275355,t,\N,2022-06-19,manual review
1046,AP-SOUTH-1,283274,t,2,2022-07-26,watchlist
1047,EU-NORTH-1,291193,f,3,2022-09-01,"priority, escalated"
1048,US-EAST-2,299112,t,4,2022-10-08,kyc refresh
1049,US-WEST-1,307031,t,5,2022-11-14,verified
1050,EU-WEST-1,314950,f,1,2022-12-21,\N
1051,SA-EAST-1,322869,t,2,2023-01-27,tier upgrade
1052,ME-CENTRAL,330788,t,3,2023-03-05,ueberprueft 2024
1053,AP-SOUTH-1,338707,f,4,2023-04-11,\N
1054,EU-NORTH-1,346626,t,5,2023-05-18,re-audit pendiente
1055,US-EAST-2,354545,t,1,2023-06-24,dormant account
1056,US-WEST-1,362464,f,\N,2023-07-31,\N
1057,EU-WEST-1,370383,t,3,2023-09-06,manual review
1058,SA-EAST-1,378302,t,4,2023-10-13,watchlist
1059,ME-CENTRAL,386221,f,5,2023-11-19,"priority, escalated"
1060,AP-SOUTH-1,394140,t,1,2023-12-26,kyc refresh
1061,EU-NORTH-1,402059,t,2,2024-02-01,verified
1062,US-EAST-2,409978,f,3,2024-03-09,\N
1063,US-WEST-1,417897,t,4,2024-04-15,tier upgrade
1064,EU-WEST-1,425816,t,5,2024-05-22,ueberprueft 2024
1065,SA-EAST-1,433735,f,1,2024-06-28,\N
1066,ME-CENTRAL,441654,t,2,2024-08-04,re-audit pendiente
1067,AP-SOUTH-1,449573,t,\N,2024-09-10,dormant account
1068,EU-NORTH-1,457492,f,4,2024-10-17,\N
1069,US-EAST-2,465411,t,5,2024-11-23,manual review
1070,US-WEST-1,473330,t,1,2024-12-30,watchlist
1071,EU-WEST-1,481249,f,2,2019-01-28,"priority, escalated"
1072,SA-EAST-1,489168,t,3,2019-03-06,kyc refresh
1073,ME-CENTRAL,497087,t,4,2019-04-12,verified
1074,AP-SOUTH-1,505006,f,5,2019-05-19,\N
1075,EU-NORTH-1,512925,t,1,2019-06-25,tier upgrade
1076,US-EAST-2,520844,t,2,2019-08-01,ueberprueft 2024
1077,US-WEST-1,528763,f,3,2019-09-07,\N
1078,EU-WEST-1,536682,t,\N,2019-10-14,re-audit pendiente
1079,SA-EAST-1,544601,t,5,2019-11-20,dormant account
1080,ME-CENTRAL,552520,f,1,2019-12-27,\N
1081,AP-SOUTH-1,560439,t,2,2020-02-02,manual review
1082,EU-NORTH-1,568358,t,3,2020-03-10,watchlist
1083,US-EAST-2,576277,f,4,2020-04-16,"priority, escalated"
1084,US-WEST-1,584196,t,5,2020-05-23,kyc refresh
1085,EU-WEST-1,592115,t,1,2020-06-29,verified
1086,SA-EAST-1,600034,f,2,2020-08-05,\N
1087,ME-CENTRAL,607953,t,3,2020-09-11,tier upgrade
1088,AP-SOUTH-1,615872,t,4,2020-10-18,ueberprueft 2024
1089,EU-NORTH-1,623791,f,\N,2020-11-24,\N
1090,US-EAST-2,631710,t,1,2020-12-31,re-audit pendiente
1091,US-WEST-1,321091,t,3,2021-02-06,settled batch
1092,EU-WEST-1,321092,f,1,2021-03-15,\N
1093,SA-EAST-1,321093,t,2,2021-04-21,settled batch
1094,ME-CENTRAL,321094,t,3,2021-05-28,settled batch
1095,AP-SOUTH-1,321095,f,\N,2021-07-04,settled batch
1096,EU-NORTH-1,321096,t,2,2021-08-10,\N
1097,US-EAST-2,321097,t,3,2021-09-16,settled batch
1098,US-WEST-1,321098,f,1,2021-10-23,settled batch
1099,EU-WEST-1,321099,t,2,2021-11-29,settled batch
1100,SA-EAST-1,321100,t,\N,2022-01-05,\N
1101,ME-CENTRAL,321101,f,1,2022-02-11,settled batch
1102,AP-SOUTH-1,321102,t,2,2022-03-20,settled batch
1103,EU-NORTH-1,321103,t,3,2022-04-26,settled batch
1104,US-EAST-2,321104,f,1,2022-06-02,\N
1105,US-WEST-1,321105,t,\N,2022-07-09,settled batch
1106,EU-WEST-1,321106,t,3,2022-08-15,settled batch
1107,SA-EAST-1,321107,f,1,2022-09-21,settled batch
1108,ME-CENTRAL,321108,t,2,2022-10-28,\N
1109,AP-SOUTH-1,321109,t,3,2022-12-04,settled batch
1110,EU-NORTH-1,321110,f,\N,2023-01-10,settled batch
1111,US-EAST-2,321111,t,2,2023-02-16,settled batch
1112,US-WEST-1,321112,t,3,2023-03-25,\N
1113,EU-WEST-1,321113,f,1,2023-05-01,settled batch
1114,SA-EAST-1,321114,t,2,2023-06-07,settled batch
1115,ME-CENTRAL,321115,t,\N,2023-07-14,settled batch
1116,AP-SOUTH-1,321116,f,1,2023-08-20,\N
1117,EU-NORTH-1,321117,t,2,2023-09-26,settled batch
1118,US-EAST-2,321118,t,3,2023-11-02,settled batch
1119,US-WEST-1,321119,f,1,2023-12-09,settled batch
1120,EU-WEST-1,321120,t,\N,2024-01-15,\N
1131,EU-NORTH-1,956389,f,2,2019-02-17,"priority, escalated"
1132,US-EAST-2,964308,t,3,2019-03-26,kyc refresh
1133,US-WEST-1,972227,t,\N,2019-05-02,verified
1134,EU-WEST-1,980146,f,5,2019-06-08,\N
1135,SA-EAST-1,988065,t,1,2019-07-15,tier upgrade
1136,ME-CENTRAL,995984,t,2,2019-08-21,ueberprueft 2024
1137,AP-SOUTH-1,103903,f,3,2019-09-27,\N
1138,EU-NORTH-1,111822,t,4,2019-11-03,re-audit pendiente
1139,US-EAST-2,119741,t,5,2019-12-10,dormant account
1140,US-WEST-1,127660,f,1,2020-01-16,\N
1141,EU-WEST-1,135579,t,2,2020-02-22,manual review
1142,SA-EAST-1,143498,t,3,2020-03-30,watchlist
1143,ME-CENTRAL,151417,f,4,2020-05-06,"priority, escalated"
1144,AP-SOUTH-1,159336,t,\N,2020-06-12,kyc refresh
1145,EU-NORTH-1,167255,t,1,2020-07-19,verified
1146,US-EAST-2,175174,f,2,2020-08-25,\N
1147,US-WEST-1,183093,t,3,2020-10-01,tier upgrade
1148,EU-WEST-1,191012,t,4,2020-11-07,ueberprueft 2024
1149,SA-EAST-1,198931,f,5,2020-12-14,\N
1150,ME-CENTRAL,206850,t,1,2021-01-20,re-audit pendiente
1151,AP-SOUTH-1,214769,t,2,2021-02-26,dormant account
1152,EU-NORTH-1,222688,f,3,2021-04-04,\N
1153,US-EAST-2,230607,t,4,2021-05-11,manual review
1154,US-WEST-1,238526,t,5,2021-06-17,watchlist
1155,EU-WEST-1,246445,f,\N,2021-07-24,"priority, escalated"
1156,SA-EAST-1,254364,t,2,2021-08-30,kyc refresh
1157,ME-CENTRAL,262283,t,3,2021-10-06,verified
1158,AP-SOUTH-1,270202,f,4,2021-11-12,\N
1159,EU-NORTH-1,278121,t,5,2021-12-19,tier upgrade
1160,US-EAST-2,286040,t,1,2022-01-25,ueberprueft 2024
